row,col,cell_id,split
0,71,r0_c71,train
0,72,r0_c72,train
0,73,r0_c73,train
0,74,r0_c74,train
0,75,r0_c75,test
0,76,r0_c76,train
0,77,r0_c77,train
0,78,r0_c78,train
0,79,r0_c79,train
0,80,r0_c80,train
0,81,r0_c81,train
0,82,r0_c82,train
0,83,r0_c83,train
0,84,r0_c84,train
0,85,r0_c85,train
0,86,r0_c86,validation
0,87,r0_c87,validation
0,88,r0_c88,test
0,89,r0_c89,train
0,90,r0_c90,train
0,91,r0_c91,train
0,92,r0_c92,train
0,93,r0_c93,train
0,94,r0_c94,train
0,95,r0_c95,train
0,96,r0_c96,train
0,97,r0_c97,train
0,98,r0_c98,train
0,99,r0_c99,test
0,100,r0_c100,train
0,101,r0_c101,test
0,102,r0_c102,train
0,103,r0_c103,train
0,104,r0_c104,train
0,105,r0_c105,train
0,106,r0_c106,test
0,107,r0_c107,train
0,108,r0_c108,validation
0,109,r0_c109,train
0,110,r0_c110,train
0,111,r0_c111,train
0,112,r0_c112,train
0,113,r0_c113,train
0,114,r0_c114,validation
0,115,r0_c115,train
0,116,r0_c116,validation
0,117,r0_c117,train
0,118,r0_c118,test
0,119,r0_c119,train
0,120,r0_c120,train
0,121,r0_c121,train
0,122,r0_c122,validation
0,123,r0_c123,train
0,124,r0_c124,train
0,125,r0_c125,validation
0,126,r0_c126,train
1,17,r1_c17,validation
1,18,r1_c18,train
1,19,r1_c19,train
1,20,r1_c20,validation
1,21,r1_c21,train
1,22,r1_c22,train
1,23,r1_c23,train
1,24,r1_c24,train
1,25,r1_c25,train
1,26,r1_c26,train
1,27,r1_c27,train
1,28,r1_c28,train
1,29,r1_c29,test
1,30,r1_c30,train
1,31,r1_c31,test
1,32,r1_c32,train
1,33,r1_c33,validation
1,34,r1_c34,train
1,35,r1_c35,validation
1,36,r1_c36,train
1,37,r1_c37,train
1,38,r1_c38,test
1,39,r1_c39,train
1,40,r1_c40,train
1,41,r1_c41,train
1,42,r1_c42,train
1,43,r1_c43,train
1,44,r1_c44,train
1,45,r1_c45,test
1,46,r1_c46,train
1,47,r1_c47,train
1,48,r1_c48,train
1,49,r1_c49,train
1,50,r1_c50,train
1,51,r1_c51,train
1,52,r1_c52,train
1,53,r1_c53,train
1,54,r1_c54,train
1,55,r1_c55,train
1,56,r1_c56,train
1,57,r1_c57,train
1,58,r1_c58,train
1,59,r1_c59,train
1,60,r1_c60,train
1,61,r1_c61,train
1,62,r1_c62,train
1,63,r1_c63,test
1,64,r1_c64,train
1,65,r1_c65,train
1,66,r1_c66,validation
1,67,r1_c67,train
1,68,r1_c68,train
1,69,r1_c69,validation
1,70,r1_c70,train
1,71,r1_c71,train
1,72,r1_c72,train
1,73,r1_c73,train
1,74,r1_c74,train
1,75,r1_c75,train
1,76,r1_c76,train
1,77,r1_c77,validation
1,78,r1_c78,train
1,79,r1_c79,train
1,80,r1_c80,train
1,81,r1_c81,train
1,82,r1_c82,train
1,83,r1_c83,validation
1,84,r1_c84,test
1,85,r1_c85,train
1,86,r1_c86,train
1,87,r1_c87,train
1,88,r1_c88,test
1,89,r1_c89,train
1,90,r1_c90,train
1,91,r1_c91,train
1,92,r1_c92,train
1,93,r1_c93,train
1,94,r1_c94,validation
1,95,r1_c95,train
1,96,r1_c96,validation
1,97,r1_c97,train
1,98,r1_c98,test
1,99,r1_c99,train
1,100,r1_c100,train
1,101,r1_c101,train
1,102,r1_c102,train
1,103,r1_c103,test
1,104,r1_c104,validation
1,105,r1_c105,train
1,106,r1_c106,test
1,107,r1_c107,train
1,108,r1_c108,train
1,109,r1_c109,validation
1,110,r1_c110,train
1,111,r1_c111,train
1,112,r1_c112,test
1,113,r1_c113,train
1,114,r1_c114,train
1,115,r1_c115,train
1,116,r1_c116,train
1,117,r1_c117,train
1,118,r1_c118,train
1,119,r1_c119,validation
1,120,r1_c120,train
1,121,r1_c121,train
1,122,r1_c122,validation
1,123,r1_c123,test
1,124,r1_c124,validation
1,125,r1_c125,train
1,126,r1_c126,train
2,0,r2_c0,train
2,1,r2_c1,train
2,2,r2_c2,train
2,3,r2_c3,test
2,4,r2_c4,validation
2,5,r2_c5,test
2,6,r2_c6,train
2,7,r2_c7,train
2,8,r2_c8,train
2,9,r2_c9,train
2,10,r2_c10,test
2,11,r2_c11,test
2,12,r2_c12,test
2,13,r2_c13,validation
2,14,r2_c14,train
2,15,r2_c15,train
2,16,r2_c16,validation
2,17,r2_c17,validation
2,18,r2_c18,train
2,19,r2_c19,test
2,20,r2_c20,train
2,21,r2_c21,train
2,22,r2_c22,train
2,23,r2_c23,test
2,24,r2_c24,train
2,25,r2_c25,train
2,26,r2_c26,train
2,27,r2_c27,train
2,28,r2_c28,test
2,29,r2_c29,train
2,30,r2_c30,train
2,31,r2_c31,train
2,32,r2_c32,train
2,33,r2_c33,train
2,34,r2_c34,train
2,35,r2_c35,train
2,36,r2_c36,train
2,37,r2_c37,train
2,38,r2_c38,train
2,39,r2_c39,train
2,40,r2_c40,test
2,41,r2_c41,train
2,42,r2_c42,train
2,43,r2_c43,train
2,44,r2_c44,validation
2,45,r2_c45,test
2,46,r2_c46,validation
2,47,r2_c47,train
2,48,r2_c48,validation
2,49,r2_c49,train
2,50,r2_c50,train
2,51,r2_c51,validation
2,52,r2_c52,train
2,53,r2_c53,train
2,54,r2_c54,train
2,55,r2_c55,test
2,56,r2_c56,train
2,57,r2_c57,validation
2,58,r2_c58,train
2,59,r2_c59,test
2,60,r2_c60,train
2,61,r2_c61,train
2,62,r2_c62,test
2,63,r2_c63,train
2,64,r2_c64,train
2,65,r2_c65,train
2,66,r2_c66,train
2,67,r2_c67,train
2,68,r2_c68,train
2,69,r2_c69,train
2,70,r2_c70,test
2,71,r2_c71,train
2,72,r2_c72,test
2,73,r2_c73,train
2,74,r2_c74,train
2,75,r2_c75,train
2,76,r2_c76,train
2,77,r2_c77,validation
2,78,r2_c78,train
2,79,r2_c79,test
2,80,r2_c80,train
2,81,r2_c81,train
2,82,r2_c82,train
2,83,r2_c83,train
2,84,r2_c84,test
2,85,r2_c85,train
2,86,r2_c86,train
2,87,r2_c87,train
2,88,r2_c88,train
2,89,r2_c89,train
2,90,r2_c90,train
2,91,r2_c91,train
2,92,r2_c92,train
2,93,r2_c93,train
2,94,r2_c94,validation
2,95,r2_c95,train
2,96,r2_c96,train
2,97,r2_c97,train
2,98,r2_c98,train
2,99,r2_c99,test
2,100,r2_c100,train
2,101,r2_c101,test
2,102,r2_c102,train
2,103,r2_c103,train
2,104,r2_c104,train
2,105,r2_c105,train
2,106,r2_c106,train
2,107,r2_c107,train
2,108,r2_c108,train
2,109,r2_c109,validation
2,110,r2_c110,train
2,111,r2_c111,train
2,112,r2_c112,validation
2,113,r2_c113,train
2,114,r2_c114,train
2,115,r2_c115,validation
2,116,r2_c116,train
2,117,r2_c117,train
2,118,r2_c118,validation
2,119,r2_c119,validation
